Restaurant Name,Address,Failed inspection on,Alive for x years
JEWELL @ 131,131 S DEARBORN ST ,09/01/2010,6.315068493150685
JIMMIE'S POPPING POPCORN,201 N CLARK ST ,06/28/2013,1.9561643835616438
JIMMY FIGS,160 N FRANKLIN ST ,06/22/2010,3.147945205479452
JIMMY GREEN'S,825 S STATE ST ,04/29/2010,2.2383561643835614
JIMMY JOHN'S,247 S STATE ST ,11/08/2017,0.0
JIMMY JOHN'S - LASALLE,180 N LA SALLE ST ,10/09/2014,0.8054794520547945
JIMMY JOHN'S - TAYLOR,1133 W TAYLOR ST ,11/10/2014,0.7150684931506849
JIMMY JOHN'S - VAN BUREN,812 W VAN BUREN ST ,03/18/2015,0.36712328767123287
JTA SCHOOLS,1255 S STATE ST ,08/20/2012,1.104109589041096
K-KITCHEN,201 N CLARK ST ,10/08/2013,2.610958904109589
KABOCHA,952 W LAKE ST ,04/11/2013,1.284931506849315
KARYN'S ON GREEN,130 S GREEN ST ,09/21/2011,4.254794520547946
KHYBER PASS,233 E WACKER DR ,01/27/2010,4.865753424657535
KIMURA SUSHI,1422 W Taylor ST ,09/28/2016,1.1945205479452055
KINDERCARE LEARNING CENTER,1463 S STATE ST ,08/31/2010,5.052054794520548
KINGSBAKER CAFE,900 W VAN BUREN ST ,03/12/2015,2.282191780821918
L.A FITNESS HEALTH CLUB,55 E RANDOLPH ST ,10/17/2016,1.2164383561643837
LA CUCHARA,1521-1523 W MADISON ST ,03/11/2016,1.893150684931507
LA LUCE,1393 W LAKE ST ,02/21/2013,3.695890410958904
LAGNIAPPE-A CREOLE CAJUN JOYNT,55 W RIVERWALK SOUTH ,01/05/2010,3.915068493150685
LAI LAI RESTAURANT,330 S WELLS ST ,10/31/2016,0.5013698630136987
LALO SUBWAY INC,77 W JACKSON BLVD ,01/21/2015,2.263013698630137
Le Peep Restaurant,1010 W WASHINGTON BLVD ,08/20/2010,2.1013698630136988
LEMON TREE EXPRESS,176 N WELLS ST ,02/14/2014,1.3013698630136987
LEONA'S PIZZERIA,1419 W TAYLOR ST ,03/05/2014,0.6383561643835617
LEONA'S PIZZERIA,1419 W TAYLOR ST ,03/22/2016,0.4438356164383562
LIFESTYLES TUCK SHOP,127 N DEARBORN ST ,11/05/2010,4.038356164383561
LITO'S EMPANADAS II,1437 W TAYLOR ST ,01/19/2012,2.3205479452054796
LITTLE BRANCH CAFE,1251 S PRAIRIE AVE ,05/27/2015,2.3232876712328765
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE ,09/16/2010,1.704109589041096
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE ,02/25/2014,1.3013698630136987
LONCHERIA BY LATINICITY,108 N STATE ST ,09/30/2015,2.0876712328767124
LORETTA'S BAKE SHOP AND CAFE,939 W RANDOLPH ,04/08/2015,1.5506849315068494
LUCKY'S SANDWICH CO. MAXWELL STREET,717 W MAXWELL ST ,05/23/2014,1.641095890410959
MA&I,1234 S MICHIGAN AVE ,07/15/2011,4.843835616438356
MAC KELLY'S,216 W JACKSON BLVD ,08/06/2013,1.4273972602739726
Madison Street Cafe,70 W MADISON ST ,06/14/2013,3.0082191780821916
MANHATTAN'S ON DEARBORN,415 S DEARBORN ST ,11/24/2010,3.7616438356164386
MARBLE SLAB CREAMERY,1241 S MICHIGAN AVE ,09/29/2010,1.873972602739726
MARKET,1113-1115 W RANDOLPH ST ,09/09/2013,2.063013698630137
MARQUETTE INN,60 W ADAMS ST ,09/02/2011,1.9945205479452055
Marriott Chicago Medical District/UIC,625 S ASHLAND AVE ,09/23/2014,0.5178082191780822
MAXIM'S RESTAURANT INC,20 N CLARK ST ,03/16/2011,5.734246575342466
MCDONALD'S,230 S STATE ST ,10/23/2014,0.0
McDONALD'S STORE #4061,186 W ADAMS ST ,10/23/2017,0.019178082191780823
MCDONALDS,119 N WABASH AVE ,10/18/2010,3.802739726027397
MEZE,205-209 N Peoria ST ,04/24/2012,4.3561643835616435
MICKEY'S CHICKEN,408 S CLARK ST ,08/29/2011,6.293150684931507
MILLENNIUM DOGS,151 E Randolph ST ,10/11/2013,2.6986301369863015
MISTA PIZA,134 N LA SALLE ST ,10/04/2010,2.8657534246575342
MIXED GREEN,223 W LAKE ST ,10/01/2010,4.542465753424658
MIXED GREENS,223 W LAKE ST ,02/01/2011,3.5671232876712327
Monadnock Tobacco Mart Express,53 W Jackson BLVD ,01/25/2010,5.876712328767123
"MONTESSORI ACADEMY OF CHICAGO I, LLC",1335 W RANDOLPH ST ,03/24/2010,1.821917808219178
MORGAN'S BAR AND GRILL,1325 S HALSTED ST ,12/31/2012,1.83013698630137
MY THAI,333 S STATE ST ,11/06/2014,0.1726027397260274
naansense,171 N WELLS ST ,11/18/2014,1.0767123287671232
NATIVE FOODS CAFE,218 S CLARK ST ,11/30/2011,2.317808219178082
NATIVE FOODS CAFE,218 S CLARK ST ,08/15/2016,0.6931506849315069
NORTHERN TRUST BANK,50 S LA SALLE ST ,05/28/2015,1.1917808219178083
NORTHERN TRUST BANK II,801 S CANAL ST ,01/27/2010,3.350684931506849
OLD FIFTH,1027 W MADISON ST ,08/14/2014,2.0356164383561643
ORGANICLIFE,211 N STETSON AVE ,07/07/2010,2.4027397260273973
OYSY,888 S MICHIGAN AVE ,06/17/2011,2.758904109589041
Palmer House Hilton,17 E MONROE ST ,12/05/2012,0.0
PANOZZO'S ITALIAN SPECIALTIES,1303 S MICHIGAN AVE ,02/08/2010,4.052054794520548
PARKSHORE MARKET,195 N HARBOR DR ,05/08/2013,0.9972602739726028
PEPPERINO PIZZERIA,1501 W MADISON ST ,09/15/2014,1.5616438356164384
Peppers,211 W VAN BUREN ST ,06/14/2010,2.326027397260274
PERRY'S DELI,174 N FRANKLIN ST ,10/25/2010,6.3561643835616435
PERSONA WOOD  FIRE PIZZA,170 W WASHINGTON ST ,07/07/2016,1.4164383561643836
PITA HEAVEN,1250 S MICHIGAN AVE ,06/06/2011,4.641095890410959
PITABELLY,606 S WABASH AVE ,11/04/2013,0.6328767123287671
PIZANO,61 E MADISON ST ,06/16/2011,3.5616438356164384
PIZZA HUT EXPRESS,225 S CANAL ST ,02/08/2010,3.9232876712328766
PIZZERIA DEL MERCATO,1154 W FULTON MARKET ,10/16/2014,3.2739726027397262
PLUSH-CHICAGO,1104 W MADISON ST ,08/13/2010,1.83013698630137
PONTE FRESCO,225 N MICHIGAN AVE ,07/27/2011,1.0027397260273974
PRAHEM,8 S MICHIGAN AVE ,07/02/2012,2.4657534246575343
QUIZNO'S,128 S FRANKLIN ST ,09/26/2012,0.3424657534246575
QUIZNOS,1332 S HALSTED ST ,09/01/2016,0.2684931506849315
QUIZNOS SUB,70 E MADISON ST ,04/06/2012,2.2356164383561645
RED KIVA,1106-1108 W RANDOLPH ST ,10/09/2014,1.8986301369863015
RED ROBIN'S,328 N MICHIGAN AVE ,05/29/2014,2.9315068493150687
RED ROBIN'S BURGER WORKS,190 W MADISON ST ,06/02/2016,0.663013698630137
ROLY POLY,29 S LA SALLE ST ,07/10/2012,1.1972602739726028
ROOK CAFE AND SMOOTHIE BAR,816 S MICHIGAN AVE ,03/06/2013,1.7452054794520548
RUBY OF SIAM,170 W WASHINGTON ST ,02/04/2010,5.695890410958904
Sabor Express,1230 W Taylor ST ,09/29/2010,3.797260273972603
SALATINO'S,624-626 S RACINE AVE ,11/18/2010,2.265753424657534
SALSERIA GRILL & CANTINA,233 S WACKER DR ,06/24/2013,2.328767123287671
SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,10/04/2011,2.0136986301369864
SANDELLA'S/CAPERS,225 S CANAL ST ,06/26/2014,3.0136986301369864
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST ,07/13/2010,5.147945205479452
SCAFURI BAKERY,1337 W TAYLOR ST ,11/29/2012,1.704109589041096
SHORE EGG CO,1135 W FULTON MARKET ,06/17/2011,1.104109589041096
SILK ROAD JACKSON,216 W JACKSON BLVD ,01/20/2011,1.652054794520548
SKRINECHOPS,400 S FINANCIAL PL ,02/27/2015,1.0136986301369864
SODEXHO,1 N STATE ST FL ,01/31/2012,1.1287671232876713
SOFIA'S PIZZA,1132 W TAYLOR ST ,03/14/2014,0.39452054794520547
SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,10/22/2012,0.9095890410958904
SOUTH LOOP MONTESSORI SCHOOL,47 W POLK ST ,09/08/2011,5.504109589041096
SOUTH WATER KITCHEN,225 N WABASH AVE ,02/06/2013,0.8465753424657534
STANLEY'S ON RACINE,324 S RACINE AVE ,10/28/2010,2.9068493150684933
STARBUCKS COFFEE #2230,68 E MADISON ST ,06/11/2014,3.043835616438356
STUDEBAKER,623 S WABASH AVE ,08/16/2010,2.627397260273973
SUBWAY #23340,17 S WABASH AVE ,03/11/2010,3.0273972602739727
SUBWAY SANDWICH,630 S CLARK ST ,08/27/2013,1.4794520547945205
SUSHI DOKKU,823 W RANDOLPH ST ,11/18/2014,0.021917808219178082
SWEET FACTORY,100 W RANDOLPH ST ,01/20/2011,0.0410958904109589
TACO BELL,100 W RANDOLPH ST ,04/23/2015,0.4767123287671233
TAMARIND,614 S WABASH AVE ,08/29/2013,3.3945205479452056
TAPWORKS TAVERN & GRILL,820 W JACKSON BLVD ,05/13/2016,1.6958904109589041
TASTE AMERICA CATERING,1 S WACKER DR ,06/28/2010,3.115068493150685
TATSU,1062 W TAYLOR ST ,03/03/2011,3.9534246575342467
TAYLOR FOOD MART,1059 W TAYLOR ST ,02/24/2015,2.5671232876712327
TAYLOR MADE PIZZA,1220 W TAYLOR ST ,01/12/2016,1.5123287671232877
TAYLOR TOTS CHILD DEVELOPMENT,1417 W TAYLOR ST ,02/08/2011,1.0520547945205478
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,02/25/2014,2.326027397260274
THAI SPOON,601 S WABASH AVE ,08/09/2013,2.7041095890410958
THAI WOK,1104 W TAYLOR ST ,06/23/2014,0.7753424657534247
THE BETTY,845 W FULTON MARKET ,12/29/2014,2.819178082191781
The Buckingham Athletic Club,440 S LA SALLE ST ,09/23/2011,5.558904109589041
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE ,05/03/2012,3.3917808219178083
THE GARAGE,116 N ABERDEEN ST ,10/07/2014,1.8684931506849316
THE GREAT STEAK & POTATO CO.,77 W JACKSON BLVD ,09/28/2010,2.4054794520547946
THE GREEN AT GRANT PARK,352 E MONROE DR ,09/23/2010,2.5835616438356164
THE HAPPY CRAB,810 W JACKSON BLVD ,09/26/2013,4.3342465753424655
THE INDIA GRILL,1112 S WABASH AVE ,10/06/2010,0.26301369863013696
